director_id,movie_id,title,budget,homepage,overview,popularity,release_date,revenue,runtime,movie_status,vote_average,vote_count
20,65,8 Mile,41000000,http://movies.uip.de/8mile/,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy \""B-Rabbit\"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",32.798571,08/11/2002 00:00,215000000,110,Released,6.8,1626
21,69,Walk the Line,28000000,,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.",35.580032,13/09/2005 00:00,186438883,136,Released,7.3,718
22,71,Billy Elliot,5000000,,"Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!",20.428237,18/05/2000 00:00,110000000,110,Released,7.4,750
23,73,American History X,20000000,http://www.historyx.com/,"Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",73.567232,30/10/1998 00:00,23875127,119,Released,8.2,3016
24,74,War of the Worlds,132000000,,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",48.572726,28/06/2005 00:00,591739379,116,Released,6.2,2322
24,85,Raiders of the Lost Ark,18000000,http://www.indianajones.com,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.",68.159596,12/06/1981 00:00,389925971,115,Released,7.7,3854
24,87,Indiana Jones and the Temple of Doom,28000000,http://www.indianajones.com,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",66.976776,23/05/1984 00:00,333000000,118,Released,7.1,2781
24,89,Indiana Jones and the Last Crusade,48000000,http://www.indianajones.com/crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",80.972475,24/05/1989 00:00,474171806,127,Released,7.6,3152
25,75,Mars Attacks!,70000000,http://marsattacks.warnerbros.com/,"'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.",44.090535,12/12/1996 00:00,101371017,106,Released,6.1,1509
26,76,Before Sunrise,2500000,,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",23.672571,27/01/1995 00:00,5535405,105,Released,7.7,959
26,80,Before Sunset,2700000,http://www.warnerbros.com/?site=beforesunset#/page=movies&pid=f-57b53b9e/BEFORE_SUNSET&asset=059437/Before_Sunset_-_Trailer_1A&type=video/,Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.,14.799323,10/02/2004 00:00,15992615,80,Released,7.6,718
27,77,Memento,9000000,http://www.otnemem.com/,"Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.",60.715151,11/10/2000 00:00,39723096,113,Released,8.1,4028
28,78,Blade Runner,28000000,http://www.warnerbros.com/blade-runner,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",94.056131,25/06/1982 00:00,33139618,117,Released,7.9,3509
28,98,Gladiator,103000000,,"In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.",95.301296,01/05/2000 00:00,457640427,155,Released,7.9,5439
29,83,Open Water,130000,,"Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...",15.611857,06/08/2004 00:00,54667954,79,Released,5.4,315
30,90,Beverly Hills Cop,15000000,,"Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",29.843818,29/11/1984 00:00,316360478,105,Released,6.8,961
31,95,Armageddon,140000000,,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,01/07/1998 00:00,553799566,151,Released,6.4,2482
32,96,Beverly Hills Cop II,20000000,,"Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.",25.28436,18/05/1987 00:00,299965036,100,Released,6.1,613
33,100,"Lock, Stock and Two Smoking Barrels",1350000,http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/,A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.,16.032594,05/03/1998 00:00,3897569,105,Released,7.5,1648
34,103,Taxi Driver,1300000,,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.",58.845025,07/02/1976 00:00,28262574,114,Released,8,2535
35,104,Lola rennt,1530000,,"Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.",27.36562,20/08/1998 00:00,7267585,81,Released,7.2,664
7,105,Back to the Future,19000000,http://www.backtothefuture.com/movies/backtothefuture1,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",76.603233,03/07/1985 00:00,381109762,116,Released,8,6079
36,106,Predator,18000000,,"Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.",50.009408,11/06/1987 00:00,98235548,107,Released,7.3,2093
33,107,Snatch,10000000,,"The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.",53.595686,01/09/2000 00:00,83557872,103,Released,7.7,2912
37,111,Scarface,25000000,,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",70.105981,08/12/1983 00:00,65884703,170,Released,8,2948
38,114,Pretty Woman,14000000,,"When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?",45.473484,23/03/1990 00:00,463000000,119,Released,7,1746
39,115,The Big Lebowski,15000000,http://www.biglebowskibluray.com/splash.php,"Jeffrey \""The Dude\"" Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",49.230089,06/03/1998 00:00,46189568,117,Released,7.8,2926
40,116,Match Point,15000000,,"Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.",30.669913,26/10/2005 00:00,85306374,124,Released,7.3,1105
37,117,The Untouchables,25000000,,"Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",38.272889,02/06/1987 00:00,76270454,119,Released,7.6,1384
25,118,Charlie and the Chocolate Factory,150000000,https://www.warnerbros.com/charlie-and-chocolate-factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",53.905592,13/07/2005 00:00,474968763,115,Released,6.7,3624
41,120,The Lord of the Rings: The Fellowship of the Ring,93000000,http://www.lordoftherings.net/,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",138.049577,18/12/2001 00:00,871368364,178,Released,8,8705
41,121,The Lord of the Rings: The Two Towers,79000000,http://www.lordoftherings.net/,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",106.914973,18/12/2002 00:00,926287400,179,Released,8,7487
41,122,The Lord of the Rings: The Return of the King,94000000,http://www.lordoftherings.net,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",123.630332,01/12/2003 00:00,1118888979,201,Released,8.1,8064
42,129,Spirited Away,15000000,http://movies.disney.com/spirited-away,A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?,118.968562,20/07/2001 00:00,274925095,125,Released,8.3,3840
39,134,"O Brother, Where Art Thou?",26000000,,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",39.742009,30/08/2000 00:00,71868327,106,Released,7.3,1112
43,137,Groundhog Day,14600000,,"A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.",52.744331,11/02/1993 00:00,70906973,101,Released,7.4,2301
44,141,Donnie Darko,6000000,,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",61.210016,18/01/2001 00:00,1270522,113,Released,7.7,3452
45,142,Brokeback Mountain,14000000,http://www.brokebackmountain.com,Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.,44.135568,02/09/2005 00:00,178043761,134,Released,7.5,1480
46,152,Star Trek: The Motion Picture,35000000,,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",24.616634,06/12/1979 00:00,139000000,132,Released,6.2,530
47,153,Lost in Translation,4000000,,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",45.66662,31/08/2003 00:00,119723856,102,Released,7.3,1895
48,154,Star Trek II: The Wrath of Khan,12000000,,Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.,22.434102,03/06/1982 00:00,96800000,113,Released,7.3,675
27,155,The Dark Knight,185000000,http://thedarkknight.warnerbros.com/dvdsite/,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",187.322927,16/07/2008 00:00,1004558444,152,Released,8.2,12002
49,157,Star Trek III: The Search for Spock,18000000,,Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.,15.314027,31/05/1984 00:00,87000000,105,Released,6.4,434
50,161,Ocean's Eleven,85000000,http://www.warnerbros.co.uk/movies/oceans-eleven,"Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.",60.929352,07/12/2001 00:00,450717150,116,Released,7.2,3783
25,162,Edward Scissorhands,20000000,,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,47.51363,05/12/1990 00:00,53000000,105,Released,7.5,3601
50,163,Ocean's Twelve,110000000,http://oceans12.warnerbros.com/,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.",76.840712,09/12/2004 00:00,362744280,125,Released,6.4,2124
7,165,Back to the Future Part II,40000000,http://www.backtothefuture.com/movies/backtothefuture2,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.",43.345252,20/11/1989 00:00,332000000,108,Released,7.4,3829
51,167,K-PAX,48000000,http://www.k-pax.com/,"Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",30.920075,22/10/2001 00:00,50315140,120,Released,7.1,695
49,168,Star Trek IV: The Voyage Home,24000000,,"Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!",22.258428,25/11/1986 00:00,133000000,119,Released,6.9,477
52,169,Predator 2,35000000,,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",27.934978,20/11/1990 00:00,57120318,108,Released,5.9,730
53,170,28 Days Later,5000000,,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",45.490374,31/10/2002 00:00,82719885,113,Released,7.1,1777
54,172,Star Trek V: The Final Frontier,30000000,,Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.,19.578249,09/06/1989 00:00,70200000,107,Released,5.6,376
55,173,"20,000 Leagues Under the Sea",5000000,,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",9.358197,23/12/1954 00:00,28200000,127,Released,6.8,157
48,174,Star Trek VI: The Undiscovered Country,27000000,,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.",16.188572,05/12/1991 00:00,96900000,113,Released,6.7,413
56,176,Saw,1200000,,"Obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. Once captured, they must face impossible choices in a horrific game of survival. The victims must fight to win their lives back, or die trying...",63.655973,01/10/2004 00:00,103911669,103,Released,7.2,2184
57,177,The Fisher King,24000000,,Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,16.146572,09/09/1991 00:00,41895491,137,Released,7.2,341
58,179,The Interpreter,80000000,http://www.theinterpretermovie.com/,"After Silvia Broome, an interpreter at United Nations headquarters, overhears plans of an assassination, an American Secret Service agent is sent to investigate.",18.69984,08/04/2005 00:00,162944923,128,Released,6.2,392
24,180,Minority Report,102000000,,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,20/06/2002 00:00,358372926,145,Released,7.1,2608
50,182,The Good German,32000000,http://www.the-good-german.de,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,5.347936,08/12/2006 00:00,5914908,108,Released,5.9,86
1,184,Jackie Brown,12000000,,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”.",40.631671,24/12/1997 00:00,39673162,154,Released,7.3,1514
59,186,Lucky Number Slevin,27000000,,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",36.921445,24/02/2006 00:00,56308881,110,Released,7.4,1323
2,187,Sin City,40000000,http://www.miramax.com/movie/sin-city/,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",66.003433,01/04/2005 00:00,158733820,124,Released,7.2,2691
2,189,Sin City: A Dame to Kill For,65000000,http://sincity-2.com/,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,85.428395,20/08/2014 00:00,39407616,102,Released,6.3,1286
61,193,Star Trek: Generations,38000000,,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,14.779041,17/11/1994 00:00,120000000,118,Released,6.4,452
62,194,Le fabuleux destin d'Amélie Poulain,10000000,http://www.die-fabelhafte-welt-der-amelie.de,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",73.720244,25/04/2001 00:00,173921954,122,Released,7.8,3310
7,196,Back to the Future Part III,40000000,http://www.backtothefuture.com/movies/backtothefuture3,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",45.769562,25/05/1990 00:00,244527583,118,Released,7.1,2900
63,197,Braveheart,72000000,,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",60.722162,24/05/1995 00:00,210000000,177,Released,7.7,3336
